"","Lecture","Responsive","Student_Guide","Lab_Exercises","Classroom","Computer","Network","See_Hear","Had_Knowledge_Skills","Learned_What_I_Needed","Technical_Details"
"124",30,40,30,30,30,30,30,30,30,40,30
"125",40,40,30,30,30,40,40,40,40,30,30
"126",40,40,40,40,40,40,40,40,40,40,40
"127",40,40,30,30,30,NA,30,30,30,30,30
"128",40,40,40,40,30,30,30,40,40,30,30
"129",40,40,30,30,30,30,30,30,30,30,30
"130",40,40,30,30,40,40,20,40,40,40,30
"131",30,40,30,30,30,30,30,30,30,30,30
"132",40,40,40,30,30,40,20,40,40,40,30
"133",30,40,40,40,30,40,40,40,30,30,30
"134",30,40,20,40,30,40,40,40,30,30,30
"135",40,40,30,30,20,30,30,30,30,30,30
"136",30,40,30,40,30,40,40,20,30,30,30
"137",30,40,40,40,30,40,40,40,30,30,30
"138",30,40,30,30,30,30,30,30,30,30,30
"139",40,40,20,40,40,40,40,40,30,40,40
"140",30,30,40,40,30,40,40,40,30,30,30
"141",30,40,30,30,30,40,40,40,30,30,30
"142",40,40,40,40,30,40,40,40,40,40,20
"143",40,40,40,40,30,30,40,40,40,30,40
"144",40,40,40,40,40,40,40,40,40,20,40
"145",40,40,40,40,40,40,40,40,30,40,40
"146",40,40,40,40,40,40,40,30,30,30,30
"147",40,40,40,40,40,30,40,40,40,40,40
"148",40,40,40,30,30,30,30,30,30,30,30
"149",40,40,40,40,30,40,40,30,40,40,40
"150",40,40,40,40,40,40,40,40,30,40,40
"151",40,40,40,40,40,40,30,40,40,30,40
"152",40,40,40,40,30,30,30,30,30,30,30
"153",40,40,40,40,30,30,30,40,30,30,40
"154",40,40,40,40,40,40,40,40,40,40,40
"155",40,40,40,40,40,40,40,40,40,30,30
"156",40,40,30,30,30,30,30,30,30,30,30
"157",30,30,30,20,30,30,30,40,30,30,20
"158",40,40,30,20,40,40,40,40,30,20,30
"159",20,40,30,20,30,30,30,30,30,20,30
"160",30,30,30,30,40,30,30,30,30,30,30
"161",40,40,30,30,30,30,40,40,40,40,30
"162",40,40,40,40,20,30,40,40,40,30,30
"163",40,40,40,40,40,40,40,40,40,40,40
"164",40,40,40,40,30,30,30,40,40,30,30
"165",40,30,30,30,30,30,30,30,30,30,30
"166",40,40,30,30,30,40,40,40,30,30,40
"167",40,40,40,40,30,30,40,40,40,40,40
"168",30,40,30,30,30,30,30,30,30,30,30
"169",40,40,NA,40,40,40,40,40,40,30,40
"170",40,40,30,30,30,30,30,30,30,30,30
"171",30,40,20,20,30,30,30,40,40,20,20
"172",40,40,30,30,40,40,40,30,30,40,40
"173",40,40,40,40,40,40,40,40,40,40,40
"174",40,40,30,30,30,40,40,40,40,30,40
"175",40,40,40,40,40,40,40,40,40,40,40
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",30,30,30,30,30,30,20,30,20,30,30
"178",40,40,30,30,30,30,30,40,30,30,30
"179",30,30,40,40,30,30,30,40,30,30,30
"180",40,30,40,30,40,40,40,40,30,30,30
"181",40,40,40,40,40,40,40,40,30,40,40
"182",30,30,30,30,30,30,30,30,30,30,30
"183",30,40,40,40,30,40,40,40,30,30,30
"184",30,30,40,30,40,40,40,40,40,30,30
"185",40,40,40,40,40,40,40,40,40,40,40
"186",40,40,40,40,40,40,40,40,40,40,40
"187",40,40,30,30,40,30,30,30,30,30,30
"188",40,40,30,30,30,30,30,30,30,30,30
"189",30,40,30,30,30,40,40,30,30,30,30
"190",40,40,40,40,40,40,40,40,40,40,40
"191",30,30,30,30,30,30,30,30,30,30,30
"192",30,40,30,30,40,40,40,40,40,40,30
"193",40,40,40,30,40,40,40,40,30,40,30
"194",40,40,30,30,30,30,30,30,40,30,30
"195",30,40,30,30,40,40,40,30,30,30,30
"196",30,30,40,30,20,40,40,40,40,30,30
"197",30,40,30,30,30,40,40,40,30,30,30
"198",30,30,40,40,30,40,40,40,30,30,20
"199",30,30,30,30,30,30,30,30,30,30,30
"200",40,40,40,40,30,40,40,40,40,40,40
"201",40,40,40,40,30,40,40,40,30,40,40
"202",30,30,30,30,30,30,30,30,30,30,30
"203",30,30,30,30,20,30,30,30,30,30,30
