,Start_Date,End_Date,Company,Lecture,Lecture_Comments,Responsive,Responsive_Comments,Student_Guide,Guide_Comment,Lab_Exercises,Lab_Comments,Classroom,Classroom_Comments,Computer,Computer_Comments,Network,Network_Comments,See_Hear,See_Hear_Comments,Years_Experience,Experience_Comments,IP_or_Telephony_Background,Background_Comments,Had_Knowledge_Skills,Knowledge_Skills_Comments,Metaswitch_Experience,Metaswitch_Exp_Comments,Attended__Appropriate_Time,Appropriate_Time_Comments,Learned_What_I_Needed,Learned_Comment,Recommend_Class,Recommend_Comments,Feedback,Instructor,Location,Course,Technical_Details
17,8/19/2016 6:28,8/19/2016 6:32,Clear Rate Communications,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Eleven to Twenty Years,,Both IP and Telephony,,Strongly Agree,,12 to 23 months,,Yes,,Strongly Agree,,Yes,,,  Jake Livingstone         ,On-site at my Company Location ,System Overview ,Strongly Agree   
18,8/19/2016 6:28,8/19/2016 6:35,Clear Rate Communications,Strongly Agree,I was happy with Jake drawing out Diagrams on the whiteboard to get more granular with the more complicated concepts.,Strongly Agree,"Jake was very open to us asking questions and would do his best to answer them with examples, even if it got off of topic a little bit.",Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,One to Five Years,,IP,I am less versed in Telephony and Jake was happy to go over relevent concepts.,Strongly Agree,,Less than 3 months,,Yes,I have done a little bit in Meta Web prior to getting into this class so I had an idea of how to navigate but was not strong on the platform.,Strongly Agree,,Yes,,,  Jake Livingstone         ,On-site at my Company Location ,System Overview ,Strongly Agree   
19,8/19/2016 6:28,8/19/2016 6:34,Clear Rate Communications,Strongly Agree,Couldn't be clearer,Strongly Agree,He made sure every question of mine was answered and that I understood the material.,Strongly Agree,,Strongly Agree,Labs strengthened my skills,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,One to Five Years,,IP,,Agree,,Less than 3 months,,Yes,,Strongly Agree,,Yes,,Metaswitch makes Teleco easy and Jake is an excellent CSE/Rep,  Jake Livingstone         ,On-site at my Company Location ,System Overview ,Strongly Agree   
20,8/19/2016 6:28,8/19/2016 6:38,Clear Rate Communications,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Eleven to Twenty Years,,Both IP and Telephony,,Strongly Agree,,12 to 23 months,,No,"Earlier would have made sense, like just before or just after we bought it.  ",Strongly Agree,,Yes,,,  Jake Livingstone         ,On-site at my Company Location ,System Overview ,Strongly Agree   
21,8/19/2016 4:31,8/19/2016 4:42,Bluegrass Cellular,Strongly Agree,Great speaker and communicator,Strongly Agree,What questions I had were answered in a manner that promoted a better learning experience.,Strongly Agree,,Strongly Agree,"Enjoyed them and learned more from them, then the class.  Again I am hands on",Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Eleven to Twenty Years,,Telephony,,Agree,,Less than 3 months,,Yes,,Agree,,Yes,,none,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
22,8/19/2016 4:31,8/19/2016 4:38,Bluegrass Cellular,Strongly Agree,He was excellent!,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Twenty One or More Years,37 Years,Telephony,,Agree,,Less than 3 months,,Yes,,Strongly Agree,,Yes,,Nope,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
23,8/19/2016 4:32,8/19/2016 4:40,Bluegrass Cellular,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Twenty One or More Years,,Both IP and Telephony,,Strongly Agree,,3 to 11 months,,Yes,,Strongly Agree,,Yes,,Great class..,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
24,8/19/2016 4:32,8/19/2016 4:39,Bluegrass Cellular,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,We gathered a fan to help.,Strongly Agree,,Strongly Agree,,Strongly Agree,,One to Five Years,,Neither,,Strongly Agree,,3 to 11 months,,Yes,,Strongly Agree,,Yes,,,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
25,8/19/2016 4:30,8/19/2016 4:37,Bluegrass Cellular,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Eleven to Twenty Years,,IP,,Strongly Agree,,Less than 3 months,,Yes,,Strongly Agree,,Yes,,,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
26,8/19/2016 4:31,8/19/2016 4:38,Bluegrass Cellular,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,One to Five Years,,IP,,Strongly Agree,,Less than 3 months,My department doesn't own the Metaswitch equipment,Yes,,Strongly Agree,,Yes,,,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
27,8/19/2016 4:31,8/19/2016 4:35,Bluegrass Cellular,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,One to Five Years,,Neither,,Agree,,Less than 3 months,,Yes,,Strongly Agree,,Yes,,,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting , Agree  
28,8/19/2016 4:30,8/19/2016 4:36,Bluegrass Cellular,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Six to Ten Years,,Telephony,,Strongly Agree,,12 to 23 months,,Yes,,Strongly Agree,,Yes,,,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
29,8/19/2016 4:31,8/19/2016 4:35,Bluegrass Cellular,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,One to Five Years,,Both IP and Telephony,,Strongly Agree,,Less than 3 months,,Yes,,Strongly Agree,,Yes,,,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
30,8/19/2016 4:30,8/19/2016 4:36,Bluegrass Cellular,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,One to Five Years,,Telephony,,Strongly Agree,,3 to 11 months,,Yes,,Strongly Agree,,Yes,,Dr. Allen made the class engaging and enjoyable. ,    Dr. Michael Allen       ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
31,8/15/2016 7:01,8/15/2016 7:06,telcel,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Twenty One or More Years,,Both IP and Telephony,,Strongly Agree,,Less than 3 months,,Yes,,Strongly Agree,,Yes,,,Genaro Islas           ,On-site at my Company Location ,Perimeta SBC Accelerated Deployment ,Strongly Agree   
32,8/12/2016 7:59,8/12/2016 8:15,Switch Ltda,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Eleven to Twenty Years,,Both IP and Telephony,,Agree,,2 to 5 years,,Yes,,Agree,,Yes,,,          Carlos Simoni ,Other (please specify) Santiago Chile,Perimeta SBC Deployment & Troubleshooting , Agree  
33,8/12/2016 7:59,8/12/2016 8:12,Switch Ltda.,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Twenty One or More Years,,Both IP and Telephony,,Strongly Agree,,2 to 5 years,,Yes,,Strongly Agree,,Yes,,one week is to short to this course,          Carlos Simoni ,"Other (please specify) SCL, Santiago de Chile",Perimeta SBC Deployment & Troubleshooting , Agree  
34,8/12/2016 7:58,8/12/2016 8:11,Switch Comunicaciones Ltda.,Strongly Agree,"Excelente manejo en general, por otro lado creo que es poco el tiempo que se da a cada modulo.",Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Six to Ten Years,,Both IP and Telephony,,Agree,,12 to 23 months,,No,,Disagree,Falta tiempo para la cantidad de información que maneja Perimeta,Yes,,,          Carlos Simoni ,Other (please specify) Centro Netec Chile.,Perimeta SBC Deployment & Troubleshooting , Agree  
35,8/12/2016 8:00,8/12/2016 8:08,Claro,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Six to Ten Years,,Both IP and Telephony,,Agree,,3 to 11 months,,Yes,,Agree,,Yes,,,          Carlos Simoni ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting , Agree  
36,8/12/2016 7:58,8/12/2016 8:07,Claro Chile,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Six to Ten Years,,Both IP and Telephony,,Agree,,Less than 3 months,,Yes,,Strongly Agree,,Yes,,,          Carlos Simoni ,On-site at my Company Location ,Perimeta SBC Deployment & Troubleshooting , Agree  
37,8/12/2016 7:59,8/12/2016 8:04,Claro Chile,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,One to Five Years,,IP,,Agree,,Less than 3 months,,Yes,,Agree,,Yes,,,          Carlos Simoni ,"Other (please specify) Santiago, Chile",Perimeta SBC Deployment & Troubleshooting , Agree  
38,8/12/2016 7:58,8/12/2016 8:04,Claro Chile,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Six to Ten Years,,Both IP and Telephony,,Agree,,Less than 3 months,,Yes,,Strongly Agree,,Yes,,,          Carlos Simoni ,"Other (please specify) Santiago, Chile",Perimeta SBC Deployment & Troubleshooting ,Strongly Agree   
39,8/12/2016 6:48,8/12/2016 7:04,Telcel,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Eleven to Twenty Years,,Telephony,,Agree,,3 to 11 months,,Yes,,Agree,,Yes,,Excellent Instructor  !!!!!,Genaro Islas           ,On-site at my Company Location ,Perimeta SBC Accelerated Deployment ,  Disagree 
40,8/12/2016 6:45,8/12/2016 7:05,Radiomovil DIPSA,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Eleven to Twenty Years,,Both IP and Telephony,,Agree,,3 to 11 months,,No,The course need more time to completed with Test Lab excersice,Strongly Agree,,Yes,,,Genaro Islas           ,On-site at my Company Location ,Perimeta SBC Accelerated Deployment , Agree  
41,8/12/2016 6:44,8/12/2016 6:59,TELCEL,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Eleven to Twenty Years,,Telephony,,Agree,,Less than 3 months,I DO NOT HAVE EXPERIENCE WITH THIS PLATFORM,Yes,,Agree,,Yes,,THANKS FOR THIS COURSE,Genaro Islas           ,On-site at my Company Location ,Perimeta SBC Accelerated Deployment , Agree  
42,8/12/2016 6:44,8/12/2016 7:01,TELCEL,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Six to Ten Years,,IP,,Agree,,Less than 3 months,,Yes,,Agree,,Yes,,NO,Genaro Islas           ,Other (please specify) TELCEL PISO 4,Perimeta SBC Accelerated Deployment , Agree  
43,8/12/2016 6:46,8/12/2016 6:53,Telcel,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Eleven to Twenty Years,,Telephony,,Agree,,3 to 11 months,,Yes,,Agree,,Yes,,,Genaro Islas           ,On-site at my Company Location ,Perimeta SBC Accelerated Deployment ,Strongly Agree   
44,8/12/2016 6:45,8/12/2016 6:56,Telcel,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Eleven to Twenty Years,,Both IP and Telephony,,Agree,,3 to 11 months,,Yes,,Agree,,Yes,,"El desarrollo del curso estuvo muy bien, únicamente seria bueno ajustar el curso a 5 días para tener mas tiempo para tratar los temas y las practicas.",Genaro Islas           ,On-site at my Company Location ,Perimeta SBC Accelerated Deployment ,Strongly Agree   
45,8/12/2016 6:44,8/12/2016 6:54,TELCEL,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Eleven to Twenty Years,,Telephony,,Agree,,,No trabajo directamente con el equipo soy parte de CORE,Yes,,Agree,,Yes,,,Genaro Islas           ,On-site at my Company Location ,Perimeta SBC Accelerated Deployment , Agree  
46,8/12/2016 6:44,8/12/2016 6:53,Telcel,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Eleven to Twenty Years,,Telephony,,Agree,,12 to 23 months,,Yes,,Agree,,Yes,,,Genaro Islas           ,Other (please specify) Telcel Mexico,Perimeta SBC Accelerated Deployment , Agree  
47,8/12/2016 6:44,8/12/2016 7:00,TELCEL,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Eleven to Twenty Years,,Both IP and Telephony,,Strongly Agree,,12 to 23 months,,Yes,,Strongly Agree,,Yes,I WILL RECOMMEND THIS COURSE TO MY COWORKERS,"I LIKED THE WAY YOU ARE, EXCELLENTCOMPANY",Genaro Islas           ,On-site at my Company Location ,Perimeta SBC Accelerated Deployment ,Strongly Agree   
48,8/12/2016 6:44,8/12/2016 6:53,Telcel,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,One to Five Years,,,,Strongly Agree,,3 to 11 months,,Yes,,Strongly Agree,,Yes,,,Genaro Islas           ,On-site at my Company Location ,Perimeta SBC Accelerated Deployment ,Strongly Agree   
49,8/12/2016 4:55,8/12/2016 5:05,Pioneer Communications,Strongly Agree,,Strongly Agree,,Agree,,Agree,"I would prefer the lab exercises to be structured for individual use, rather than as team efforts.  Also would prefer the lab guides not to include information/worksheets from other training centers.  ",Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,"small complaint, but the projector would be easier to see if the fluorescent lights were turned off over the screen.",Twenty One or More Years,,Telephony,,Strongly Agree,,2 to 5 years,,Yes,,Agree,,Yes,,,   Jason Anderson        ,Denver (DTC) ,HPBX Deployment & Troubleshooting , Agree  
50,8/12/2016 4:54,8/12/2016 5:14,Mediacom,Strongly Agree,Jason has a natural teaching ability and makes learning highly technical topics easier to learn in a relaxed environment. There is feedback and mutual respect between instructor and students for collaboration of ideas and ability to feel comfortable asking questions that are within the course framework as well as questions related to the specific hosted setup scenarios.,Strongly Agree,Jason was very motivated to answer every and all questions within the course outline as well as finding and tracking down answers to individual questions.,Strongly Agree,"Slide deck explanation, additional resources, preparedness to answer off the cuff questions from students shows Jason has invested a lot of time in understand the Metaswitch Hosted platform in great detail.",Strongly Agree,"The lab exercises were helpful in showing how to provision various Metaswitch objects, whether in Metaview Explorer or Web and how they work with one another.",Strongly Agree,One of the things I emphasize about what makes the learning process easier and more collaborative was the ability to feel relaxed and comfortable.,Strongly Agree,Computer worked well.,Strongly Agree,Good network connectivity.,Strongly Agree,"I sat in the front, so I could see fine. Jason spoke clearly and moved around and interacted with students in all sections of the class.",Eleven to Twenty Years,,Both IP and Telephony,,Agree,Jason upped them. I feel they will give me confidence to take on and understand new areas when I return to work.,3 to 11 months,,Yes,I have learned a lot in a short period of time.,Strongly Agree,I am very happy with the amount I learned in this class. Would love to take more Metaswitch training in Perimeta and other topics.,Yes,I would recommend this course highly,Having a lab where there is a physical router and switch and showing how to stage and test configuring a business customer.,   Jason Anderson        ,Denver (DTC) ,HPBX Deployment & Troubleshooting ,Strongly Agree   
51,8/12/2016 4:54,8/12/2016 4:58,"GVTC, New Braunfels, TX",Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,One to Five Years,,Both IP and Telephony,,Agree,,12 to 23 months,,Yes,,Agree,,Yes,,,   Jason Anderson        ,Denver (DTC) ,HPBX Deployment & Troubleshooting , Agree  
52,8/12/2016 4:54,8/12/2016 4:58,Kansas Communication Services,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,One to Five Years,,Both IP and Telephony,,Agree,,3 to 11 months,,No,"Had a lot of exposure from our CSE, already knew quite a bit before doing modules",Agree,,Yes,,,   Jason Anderson        ,Denver (DTC) ,HPBX Deployment & Troubleshooting , Agree  
53,8/12/2016 4:54,8/12/2016 5:02,Arvig,Agree,,Strongly Agree,,Agree,,Agree,,Agree,Fans were appreciated to help stay cool.,Strongly Agree,,Agree,,Strongly Agree,,Eleven to Twenty Years,Most of my years have been in Outside Plant Engineering.  I have only been in my HPBX Product Manager position for 3 months.,Neither,Strictly field design and placement of Fiber/CATV/Copper prior to past 3 months,Agree,"This course was very good for the portions that I have become familiar with over the past 3 months.   There were sections that I have not yet been exposed to that were a little difficult to follow, but the other attendees seemed to benefit greatly from the content.",Less than 3 months,,No,I feel another 3 months working with the remaining features prior to attending the class would have been beneficial for myself.,Agree,,Yes,,"Overall I was very pleased with the course content, training facility and instructor.",   Jason Anderson        ,Denver (DTC) ,HPBX Deployment & Troubleshooting , Agree  
54,8/12/2016 4:53,8/12/2016 4:57,Kansas Communication Services,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Six to Ten Years,,Telephony,,Strongly Agree,,3 to 11 months,,Yes,,Agree,,Yes,,,   Jason Anderson        ,Denver (DTC) ,HPBX Deployment & Troubleshooting ,Strongly Agree   
55,8/12/2016 4:54,8/12/2016 5:04,Salish Networks,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Twenty One or More Years,37+ years,Telephony,,Disagree,"A lot of technical information that I am unfamiliar with.  Lots of stuff ""over my head"".",3 to 11 months,,Yes,,Agree,"Lots of great information.  The parts that I need will ""sink in"" over time.  Good to know ""where to go"" for help...",Yes,,"Just in relation to my current experience, the course was a bit overwhelming.  But that's not to say that it's too much for most other people who attend.  Really good class overall.  I did enjoy it!!   Jason was very easy to understand and very patient.  Would definitely recommend. ",   Jason Anderson        , ,HPBX Deployment & Troubleshooting , Agree  
